Time,ORP,Experiment
00:08:13,195.9,Low Seismicity
00:08:15,195.5,Low Seismicity
00:08:17,198,Low Seismicity
00:08:19,199.8,Low Seismicity
00:08:21,203,Low Seismicity
00:08:23,202,Low Seismicity
00:08:25,196.6,Low Seismicity
00:08:27,196.7,Low Seismicity
00:08:29,197.7,Low Seismicity
00:08:31,199.5,Low Seismicity
00:08:33,199.7,Low Seismicity
00:08:35,201,Low Seismicity
00:08:37,200,Low Seismicity
00:08:39,196,Low Seismicity
00:08:41,193.4,Low Seismicity
00:08:43,193.2,Low Seismicity
00:08:45,192.7,Low Seismicity
00:08:47,191.6,Low Seismicity
00:08:49,190.5,Low Seismicity
00:08:51,190.1,Low Seismicity
00:08:53,193.7,Low Seismicity
00:08:55,192.9,Low Seismicity
00:08:57,191.7,Low Seismicity
00:08:59,191.7,Low Seismicity
00:09:01,190.9,Low Seismicity
00:09:03,190.3,Low Seismicity
00:09:05,189.2,Low Seismicity
00:09:07,188.8,Low Seismicity
00:09:09,190.4,Low Seismicity
00:09:11,190.1,Low Seismicity
00:09:13,189.4,Low Seismicity
00:09:15,188.8,Low Seismicity
00:09:17,188.8,Low Seismicity
00:09:19,188.9,Low Seismicity
00:09:21,188.9,Low Seismicity
00:09:23,192,Low Seismicity
00:09:25,193.9,Low Seismicity
00:09:27,193.9,Low Seismicity
00:09:29,193.7,Low Seismicity
00:09:31,194.3,Low Seismicity
00:09:33,193.3,Low Seismicity
00:09:35,192.5,Low Seismicity
00:09:37,194.5,Low Seismicity
00:09:39,193.4,Low Seismicity
00:09:41,193.4,Low Seismicity
00:09:43,192.9,Low Seismicity
00:09:45,191.8,Low Seismicity
00:09:47,190.7,Low Seismicity
00:09:49,190.6,Low Seismicity
00:09:51,190.5,Low Seismicity
00:09:53,191.9,Low Seismicity
00:09:55,193.3,Low Seismicity
00:09:57,193.3,Low Seismicity
00:09:59,193.7,Low Seismicity
00:10:01,193.3,Low Seismicity
00:10:03,192.5,Low Seismicity
00:10:05,193.9,Low Seismicity
00:10:07,194.7,Low Seismicity
00:10:09,194.2,Low Seismicity
00:10:11,195.3,Low Seismicity
00:10:13,194.6,Low Seismicity
00:10:15,195.2,Low Seismicity
00:10:17,194.8,Low Seismicity
00:10:19,195.6,Low Seismicity
00:10:21,196.1,Low Seismicity
00:10:23,195.7,Low Seismicity
00:10:25,197.9,Low Seismicity
00:10:27,196,Low Seismicity
00:10:29,196.3,Low Seismicity
00:10:31,196.7,Low Seismicity
00:10:33,196.3,Low Seismicity
00:10:35,195.6,Low Seismicity
00:10:37,196.1,Low Seismicity
00:10:39,196.3,Low Seismicity
00:10:41,195.9,Low Seismicity
00:10:43,196.2,Low Seismicity
00:10:45,197.8,Low Seismicity
00:10:47,198.9,Low Seismicity
00:10:49,199.9,Low Seismicity
00:10:51,199.8,Low Seismicity
00:10:53,200,Low Seismicity
00:10:55,198.4,Low Seismicity
00:10:57,201,Low Seismicity
00:10:59,203,Low Seismicity
00:11:01,202,Low Seismicity
00:11:03,205,Low Seismicity
00:11:05,203,Low Seismicity
00:11:07,202,Low Seismicity
00:11:09,202,Low Seismicity
00:11:11,202,Low Seismicity
00:11:13,202,Low Seismicity
00:11:15,204,Low Seismicity
00:11:17,203,Low Seismicity
00:11:19,201,Low Seismicity
00:11:21,201,Low Seismicity
00:11:23,200,Low Seismicity
00:11:25,199.3,Low Seismicity
00:11:27,199.1,Low Seismicity
00:11:29,198.2,Low Seismicity
00:11:31,196.7,Low Seismicity
00:11:33,198.1,Low Seismicity
00:11:35,204,Low Seismicity
00:11:37,203,Low Seismicity
00:11:39,202,Low Seismicity
00:11:41,201,Low Seismicity
00:11:43,200,Low Seismicity
00:11:45,199.9,Low Seismicity
00:11:47,201,Low Seismicity
00:11:49,202,Low Seismicity
00:11:51,203,Low Seismicity
00:11:53,203,Low Seismicity
00:11:55,203,Low Seismicity
00:11:57,202,Low Seismicity
00:11:59,201,Low Seismicity
00:12:01,201,Low Seismicity
00:12:03,198,Low Seismicity
00:12:05,198.4,Low Seismicity
00:12:07,199.8,Low Seismicity
00:12:09,202,Low Seismicity
00:12:11,202,Low Seismicity
00:12:13,205,Low Seismicity
00:12:15,205,Low Seismicity
00:12:17,203,Low Seismicity
00:12:19,204,Low Seismicity
00:12:21,207,Low Seismicity
00:12:23,207,Low Seismicity
00:12:25,207,Low Seismicity
00:12:27,210,Low Seismicity
00:12:29,204,Low Seismicity
00:12:31,205,Low Seismicity
00:12:33,204,Low Seismicity
00:12:35,204,Low Seismicity
00:12:37,204,Low Seismicity
00:12:39,205,Low Seismicity
00:12:41,203,Low Seismicity
00:12:43,199.8,Low Seismicity
00:12:45,199.5,Low Seismicity
00:12:47,199.6,Low Seismicity
00:12:49,198.6,Low Seismicity
00:12:51,198.7,Low Seismicity
00:12:53,196.8,Low Seismicity
00:12:55,195.5,Low Seismicity
00:12:57,198.3,Low Seismicity
00:12:59,199.4,Low Seismicity
00:13:01,199.2,Low Seismicity
00:13:03,201,Low Seismicity
00:13:05,201,Low Seismicity
00:13:07,201,Low Seismicity
00:13:09,199.2,Low Seismicity
00:13:11,198.2,Low Seismicity
00:13:13,197.9,Low Seismicity
00:13:15,199.7,Low Seismicity
00:13:17,200,Low Seismicity
00:13:19,199.5,Low Seismicity
00:13:21,201,Low Seismicity
00:13:23,200,Low Seismicity
00:13:25,199.9,Low Seismicity
00:13:27,199.4,Low Seismicity
00:13:29,198.9,Low Seismicity
00:13:31,198.6,Low Seismicity
00:13:33,198.5,Low Seismicity
00:13:35,197.6,Low Seismicity
00:13:37,197.3,Low Seismicity
00:13:39,197.1,Low Seismicity
00:13:41,198.6,Low Seismicity
00:13:43,198.4,Low Seismicity
00:13:45,198.2,Low Seismicity
00:13:47,198.1,Low Seismicity
00:13:49,198.5,Low Seismicity
00:13:51,198.6,Low Seismicity
00:13:53,197.7,Low Seismicity
00:13:55,198.1,Low Seismicity
00:13:57,197.5,Low Seismicity
00:13:59,197.8,Low Seismicity
00:14:01,197.7,Low Seismicity
00:14:03,199.3,Low Seismicity
00:14:05,201,Low Seismicity
00:14:07,202,Low Seismicity
00:14:09,203,Low Seismicity
00:14:11,203,Low Seismicity
00:14:13,207,Low Seismicity
00:14:15,202,Low Seismicity
00:14:17,202,Low Seismicity
00:14:19,204,Low Seismicity
00:14:21,203,Low Seismicity
00:14:23,203,Low Seismicity
00:14:25,201,Low Seismicity
00:14:27,203,Low Seismicity
00:14:29,205,Low Seismicity
00:14:31,208,Low Seismicity
00:14:33,206,Low Seismicity
00:14:35,207,Low Seismicity
00:14:37,206,Low Seismicity
00:14:39,205,Low Seismicity
00:14:41,207,Low Seismicity
00:14:43,208,Low Seismicity
00:14:45,209,Low Seismicity
00:14:47,206,Low Seismicity
00:14:49,203,Low Seismicity
00:14:51,204,Low Seismicity
00:14:53,202,Low Seismicity
00:14:55,203,Low Seismicity
00:14:57,207,Low Seismicity
00:14:59,203,Low Seismicity
00:15:01,199.9,Low Seismicity
00:15:03,201,Low Seismicity
00:15:05,205,Low Seismicity
00:15:07,205,Low Seismicity
00:15:09,205,Low Seismicity
00:15:11,207,Low Seismicity
00:15:13,208,Low Seismicity
00:15:15,208,Low Seismicity
00:15:17,206,Low Seismicity
00:15:19,207,Low Seismicity
00:15:21,207,Low Seismicity
00:15:23,209,Low Seismicity
00:15:25,208,Low Seismicity
00:15:27,208,Low Seismicity
00:15:29,208,Low Seismicity
00:15:31,208,Low Seismicity
00:15:33,205,Low Seismicity
00:15:35,203,Low Seismicity
00:15:37,202,Low Seismicity
00:15:39,202,Low Seismicity
00:15:41,199.5,Low Seismicity
00:15:43,199.5,Low Seismicity
00:15:45,201,Low Seismicity
00:15:47,199,Low Seismicity
00:15:49,198.4,Low Seismicity
00:15:51,197.9,Low Seismicity
00:15:53,202,Low Seismicity
00:15:55,202,Low Seismicity
00:15:57,202,Low Seismicity
00:15:59,202,Low Seismicity
00:16:01,203,Low Seismicity
00:16:03,200,Low Seismicity
00:16:05,200,Low Seismicity
00:16:07,200,Low Seismicity
00:16:09,197.9,Low Seismicity
00:16:11,197.5,Low Seismicity
00:16:13,196.8,Low Seismicity
00:16:15,196.3,Low Seismicity
00:16:17,199.4,Low Seismicity
00:16:19,202,Low Seismicity
00:16:21,206,Low Seismicity
00:16:23,207,Low Seismicity
00:16:25,206,Low Seismicity
00:16:27,203,Low Seismicity
00:16:29,205,Low Seismicity
00:16:31,208,Low Seismicity
00:16:33,204,Low Seismicity
00:16:35,201,Low Seismicity
00:16:37,199.2,Low Seismicity
00:16:39,198.5,Low Seismicity
00:16:41,197.4,Low Seismicity
00:16:43,196.4,Low Seismicity
00:16:45,196.1,Low Seismicity
00:16:47,196.1,Low Seismicity
00:16:49,196.4,Low Seismicity
00:16:51,195.8,Low Seismicity
00:16:53,195.1,Low Seismicity
00:16:55,196.7,Low Seismicity
00:16:57,196.3,Low Seismicity
00:16:59,195.4,Low Seismicity
00:17:01,195.1,Low Seismicity
00:17:03,196.5,Low Seismicity
00:17:05,196.3,Low Seismicity
00:17:07,195.8,Low Seismicity
00:17:09,195.3,Low Seismicity
00:17:11,195,Low Seismicity
00:17:13,195.1,Low Seismicity
00:17:15,195.6,Low Seismicity
00:17:17,195.5,Low Seismicity
00:17:19,196,Low Seismicity
00:17:21,197.3,Low Seismicity
00:17:23,197.7,Low Seismicity
00:17:25,196.3,Low Seismicity
00:17:27,195.6,Low Seismicity
00:17:29,196.6,Low Seismicity
00:17:31,197,Low Seismicity
00:17:33,196.8,Low Seismicity
00:17:35,198.2,Low Seismicity
00:17:37,198.3,Low Seismicity
00:17:39,199.2,Low Seismicity
00:17:41,197.1,Low Seismicity
00:17:43,197.1,Low Seismicity
00:17:45,198.9,Low Seismicity
00:17:47,195.1,Low Seismicity
00:17:49,194.8,Low Seismicity
00:17:51,196.5,Low Seismicity
00:17:53,196.1,Low Seismicity
00:17:55,196.4,Low Seismicity
00:17:57,195.6,Low Seismicity
00:17:59,194.3,Low Seismicity
00:18:01,193.3,Low Seismicity
00:18:03,193,Low Seismicity
00:18:05,191.3,Low Seismicity
00:18:07,194.8,Low Seismicity
00:18:09,197.4,Low Seismicity
00:18:11,195.2,Low Seismicity
00:18:13,195,Low Seismicity
00:18:15,195.5,Low Seismicity
00:18:17,193.9,Low Seismicity
00:18:19,197,Low Seismicity
00:18:21,199.1,Low Seismicity
00:18:23,197.2,Low Seismicity
00:18:25,195.8,Low Seismicity
00:18:27,195.8,Low Seismicity
00:18:29,197.3,Low Seismicity
00:18:31,197,Low Seismicity
00:18:33,195.7,Low Seismicity
00:18:35,196.4,Low Seismicity
00:18:37,198.5,Low Seismicity
00:18:39,195.1,Low Seismicity
00:18:41,199.5,Low Seismicity
00:18:43,199.2,Low Seismicity
00:18:45,203,Low Seismicity
00:18:47,204,Low Seismicity
00:18:49,205,Low Seismicity
00:18:51,204,Low Seismicity
00:18:53,204,Low Seismicity
00:18:55,199.5,Low Seismicity
00:18:57,198.2,Low Seismicity
00:18:59,198.9,Low Seismicity
00:19:01,199.4,Low Seismicity
00:19:03,197.6,Low Seismicity
00:19:05,201,Low Seismicity
00:19:07,200,Low Seismicity
00:19:09,202,Low Seismicity
00:19:11,203,Low Seismicity
00:19:13,201,Low Seismicity
00:19:15,198.6,Low Seismicity
00:19:17,201,Low Seismicity
00:19:19,199.4,Low Seismicity
00:19:21,197.9,Low Seismicity
00:19:23,196,Low Seismicity
00:19:25,196.3,Low Seismicity
00:19:27,201,Low Seismicity
00:19:29,201,Low Seismicity
00:19:31,202,Low Seismicity
00:19:33,199.1,Low Seismicity
00:19:35,197.6,Low Seismicity
00:19:37,198.7,Low Seismicity
00:19:39,195.3,Low Seismicity
00:19:41,191.8,Low Seismicity
00:19:43,189.2,Low Seismicity
00:19:45,188.4,Low Seismicity
00:19:47,189.5,Low Seismicity
00:19:49,189.7,Low Seismicity
00:19:51,189.4,Low Seismicity
00:19:53,190,Low Seismicity
00:19:55,189.4,Low Seismicity
00:19:57,191.9,Low Seismicity
00:19:59,194,Low Seismicity
00:20:01,195.9,Low Seismicity
00:20:03,193.8,Low Seismicity
00:20:05,194.1,Low Seismicity
00:20:07,196.2,Low Seismicity
00:20:09,196.7,Low Seismicity
00:20:11,198.5,Low Seismicity
00:20:13,198.5,Low Seismicity
00:20:15,198.5,Low Seismicity
00:20:17,201,Low Seismicity
00:20:19,198.8,Low Seismicity
00:20:21,198.4,Low Seismicity
00:20:23,198.6,Low Seismicity
00:20:25,200,Low Seismicity
00:20:27,198.9,Low Seismicity
00:20:29,197.3,Low Seismicity
00:20:31,195.7,Low Seismicity
00:20:33,195.9,Low Seismicity
00:20:35,194.7,Low Seismicity
00:20:37,193.6,Low Seismicity
00:20:39,195.1,Low Seismicity
00:20:41,196.1,Low Seismicity
00:20:43,195.1,Low Seismicity
00:20:45,196.1,Low Seismicity
00:20:47,195.9,Low Seismicity
00:20:49,195.4,Low Seismicity
00:20:51,194.7,Low Seismicity
00:20:53,197.6,Low Seismicity
00:20:55,198.9,Low Seismicity
00:20:57,199.8,Low Seismicity
00:20:59,201,Low Seismicity
00:21:01,200,Low Seismicity
00:21:03,203,Low Seismicity
00:21:05,203,Low Seismicity
00:21:07,202,Low Seismicity
00:21:09,200,Low Seismicity
00:21:11,199.9,Low Seismicity
00:21:13,202,Low Seismicity
00:21:15,202,Low Seismicity
00:21:17,203,Low Seismicity
00:21:19,204,Low Seismicity
00:21:21,207,Low Seismicity
00:21:23,206,Low Seismicity
00:21:25,208,Low Seismicity
00:21:27,205,Low Seismicity
00:21:29,202,Low Seismicity
00:21:31,199.3,Low Seismicity
00:21:33,202,Low Seismicity
00:21:35,201,Low Seismicity
00:21:37,201,Low Seismicity
00:21:39,203,Low Seismicity
00:21:41,204,Low Seismicity
00:21:43,205,Low Seismicity
00:21:45,205,Low Seismicity
00:21:47,200,Low Seismicity
00:21:49,200,Low Seismicity
00:21:51,202,Low Seismicity
00:21:53,202,Low Seismicity
00:21:55,204,Low Seismicity
00:21:57,208,Low Seismicity
00:21:59,210,Low Seismicity
00:22:01,209,Low Seismicity
00:22:03,209,Low Seismicity
00:22:05,209,Low Seismicity
00:22:07,208,Low Seismicity
00:22:09,208,Low Seismicity
00:22:11,207,Low Seismicity
00:22:13,206,Low Seismicity
00:22:15,205,Low Seismicity
00:22:17,208,Low Seismicity
00:22:19,209,Low Seismicity
00:22:21,209,Low Seismicity
00:22:23,209,Low Seismicity
00:22:25,208,Low Seismicity
00:22:27,209,Low Seismicity
00:22:29,207,Low Seismicity
00:22:31,205,Low Seismicity
00:22:33,206,Low Seismicity
00:22:35,210,Low Seismicity
00:22:37,208,Low Seismicity
00:22:39,210,Low Seismicity
00:22:41,208,Low Seismicity
00:22:43,210,Low Seismicity
00:22:45,209,Low Seismicity
00:22:47,211,Low Seismicity
00:22:49,208,Low Seismicity
00:22:51,206,Low Seismicity
00:22:53,205,Low Seismicity
00:22:55,204,Low Seismicity
00:22:57,203,Low Seismicity
00:22:59,204,Low Seismicity
00:23:01,205,Low Seismicity
00:23:03,206,Low Seismicity
00:23:05,208,Low Seismicity
00:23:07,208,Low Seismicity
00:23:09,210,Low Seismicity
00:23:11,206,Low Seismicity
00:23:13,205,Low Seismicity
00:23:15,207,Low Seismicity
00:23:17,205,Low Seismicity
00:23:19,206,Low Seismicity
00:23:21,208,Low Seismicity
00:23:23,208,Low Seismicity
00:23:25,208,Low Seismicity
00:23:27,208,Low Seismicity
00:23:29,209,Low Seismicity
00:23:31,207,Low Seismicity
00:23:33,208,Low Seismicity
00:23:35,208,Low Seismicity
00:23:37,210,Low Seismicity
00:23:39,210,Low Seismicity
00:23:41,205,Low Seismicity
00:23:43,203,Low Seismicity
00:23:45,206,Low Seismicity
00:23:47,208,Low Seismicity
00:23:49,210,Low Seismicity
00:23:51,209,Low Seismicity
00:23:53,208,Low Seismicity
00:23:55,206,Low Seismicity
00:23:57,205,Low Seismicity
00:23:59,205,Low Seismicity
00:24:01,206,Low Seismicity
00:24:03,205,Low Seismicity
00:24:05,208,Low Seismicity
00:24:07,209,Low Seismicity
00:24:09,208,Low Seismicity
00:24:11,207,Low Seismicity
00:24:13,209,Low Seismicity
00:24:15,209,Low Seismicity
00:24:17,209,Low Seismicity
00:24:19,212,Low Seismicity
00:24:21,212,Low Seismicity
00:24:23,211,Low Seismicity
00:24:25,209,Low Seismicity
00:24:27,207,Low Seismicity
00:24:29,204,Low Seismicity
00:24:31,201,Low Seismicity
00:24:33,201,Low Seismicity
00:24:35,198,Low Seismicity
00:24:37,200,Low Seismicity
00:24:39,200,Low Seismicity
00:24:41,199.6,Low Seismicity
00:24:43,198.1,Low Seismicity
00:24:45,197.3,Low Seismicity
00:24:47,196.6,Low Seismicity
00:24:49,199.2,Low Seismicity
00:24:51,198.7,Low Seismicity
00:24:53,201,Low Seismicity
00:24:55,202,Low Seismicity
00:24:57,203,Low Seismicity
00:24:59,203,Low Seismicity
00:25:01,201,Low Seismicity
00:25:03,200,Low Seismicity
00:25:05,199.7,Low Seismicity
00:25:07,199.9,Low Seismicity
00:25:09,203,Low Seismicity
00:25:11,205,Low Seismicity
00:25:13,206,Low Seismicity
00:25:15,206,Low Seismicity
00:25:17,208,Low Seismicity
00:25:19,208,Low Seismicity
00:25:21,204,Low Seismicity
00:25:23,204,Low Seismicity
00:25:25,207,Low Seismicity
00:25:27,205,Low Seismicity
00:25:29,206,Low Seismicity
00:25:31,206,Low Seismicity
