x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-90.57965837,-45.86161414,-102.756691,144,2023-08-10T09:51:15.555074Z,46.51056158,8.476188695,-1.382623309,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.31E-05,9,-4.592663376,MwA
-93.83469307,-50.43210626,-84.377927,148,2023-08-10T09:52:03.299139Z,46.51052086,8.476145504,-1.401002073,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000118819,15,-4.223040678,MwA
-88.80267788,-44.07053651,-98.101306,152,2023-08-10T09:52:17.903265Z,46.51057748,8.476212155,-1.387278694,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000178952,20,-4.059368343,MwA
-93.05245817,-47.43116018,-84.096736,154,2023-08-10T09:52:23.765038Z,46.51054776,8.476156212,-1.401283264,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000120727,24,-3.564104059,MwA
-90.25556302,-45.36155378,-99.763912,155,2023-08-10T09:52:27.228263Z,46.51056604,8.476193004,-1.385616088,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000100763,22,-3.884741295,MwA
-90.50439672,-47.93838363,-107.192485,159,2023-08-10T09:52:43.024368Z,46.51054289,8.476189317,-1.378187515,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000131272,8,-4.637607337,MwA
-92.80184671,-46.97201884,-84.54756,162,2023-08-10T09:53:18.997131Z,46.51055186,8.476159556,-1.40083244,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00010964,24,-3.596219815,MwA
-90.93017454,-47.19582472,-106.303457,163,2023-08-10T09:53:40.806655Z,46.51054962,8.476183898,-1.379076543,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.75E-05,11,-4.440614552,MwA
-91.4920288,-48.09042954,-106.36388,164,2023-08-10T09:54:04.573945Z,46.51054164,8.476176424,-1.37901612,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.44E-05,8,-4.613488948,MwA
-97.71531295,-45.36227456,-103.265978,167,2023-08-10T09:54:14.772583Z,46.51056692,8.476095817,-1.382114022,induced or triggered event,manual,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,mesimeri,0.000370707,8,-4.463058948,MwA
