Time,EC,Experiment
14:13:50,71,High Seismicity
14:13:52,71,High Seismicity
14:13:54,71,High Seismicity
14:13:56,71,High Seismicity
14:13:58,71,High Seismicity
14:14:00,71,High Seismicity
14:14:02,71,High Seismicity
14:14:04,71,High Seismicity
14:14:06,71,High Seismicity
14:14:08,71,High Seismicity
14:14:10,71,High Seismicity
14:14:12,71,High Seismicity
14:14:14,71,High Seismicity
14:14:16,71,High Seismicity
14:14:18,71,High Seismicity
14:14:20,71,High Seismicity
14:14:22,71,High Seismicity
14:14:24,71,High Seismicity
14:14:26,71,High Seismicity
14:14:28,71,High Seismicity
14:14:30,71,High Seismicity
14:14:32,70.8,High Seismicity
14:14:34,71,High Seismicity
14:14:36,70.9,High Seismicity
14:14:38,70.9,High Seismicity
14:14:40,70.9,High Seismicity
14:14:42,71,High Seismicity
14:14:44,70.9,High Seismicity
14:14:46,70.9,High Seismicity
14:14:48,70.9,High Seismicity
14:14:50,70.9,High Seismicity
14:14:52,70.9,High Seismicity
14:14:54,70.9,High Seismicity
14:14:56,70.9,High Seismicity
14:14:58,70.9,High Seismicity
14:15:00,70.8,High Seismicity
14:15:02,70.9,High Seismicity
14:15:04,70.9,High Seismicity
14:15:06,70.9,High Seismicity
14:15:08,70.9,High Seismicity
14:15:10,70.9,High Seismicity
14:15:12,70.9,High Seismicity
14:15:14,70.9,High Seismicity
14:15:16,70.9,High Seismicity
14:15:18,70.9,High Seismicity
14:15:20,70.9,High Seismicity
14:15:22,70.8,High Seismicity
14:15:24,70.9,High Seismicity
14:15:26,70.9,High Seismicity
14:15:28,70.9,High Seismicity
14:15:30,70.8,High Seismicity
14:15:32,70.9,High Seismicity
14:15:34,70.9,High Seismicity
14:15:36,70.9,High Seismicity
14:15:38,70.9,High Seismicity
14:15:40,70.9,High Seismicity
14:15:42,70.9,High Seismicity
14:15:44,70.9,High Seismicity
14:15:46,70.9,High Seismicity
14:15:48,70.9,High Seismicity
14:15:50,70.9,High Seismicity
14:15:52,70.9,High Seismicity
14:15:54,70.9,High Seismicity
14:15:56,70.9,High Seismicity
14:15:58,70.9,High Seismicity
14:16:00,70.8,High Seismicity
14:16:02,70.8,High Seismicity
14:16:04,70.8,High Seismicity
14:16:06,70.8,High Seismicity
14:16:08,70.8,High Seismicity
14:16:10,70.8,High Seismicity
14:16:12,70.9,High Seismicity
14:16:14,70.8,High Seismicity
14:16:16,70.8,High Seismicity
14:16:18,70.8,High Seismicity
14:16:20,70.8,High Seismicity
14:16:22,70.8,High Seismicity
14:16:24,70.8,High Seismicity
14:16:26,70.8,High Seismicity
14:16:28,70.8,High Seismicity
14:16:30,70.8,High Seismicity
14:16:32,70.8,High Seismicity
14:16:34,70.8,High Seismicity
14:16:36,70.8,High Seismicity
14:16:38,70.8,High Seismicity
14:16:40,70.8,High Seismicity
14:16:42,70.9,High Seismicity
14:16:44,70.8,High Seismicity
14:16:46,70.8,High Seismicity
14:16:48,70.6,High Seismicity
14:16:50,70.8,High Seismicity
14:16:52,70.8,High Seismicity
14:16:54,70.8,High Seismicity
14:16:56,70.8,High Seismicity
14:16:58,70.8,High Seismicity
14:17:00,70.8,High Seismicity
14:17:02,70.8,High Seismicity
14:17:04,70.8,High Seismicity
14:17:06,70.8,High Seismicity
14:17:08,70.8,High Seismicity
14:17:10,70.8,High Seismicity
14:17:12,70.8,High Seismicity
14:17:14,70.8,High Seismicity
14:17:16,70.7,High Seismicity
14:17:18,70.8,High Seismicity
14:17:20,70.8,High Seismicity
14:17:22,70.8,High Seismicity
14:17:24,70.7,High Seismicity
14:17:26,70.8,High Seismicity
14:17:28,70.8,High Seismicity
14:17:30,70.8,High Seismicity
14:17:32,70.8,High Seismicity
14:17:34,70.9,High Seismicity
14:17:36,70.9,High Seismicity
14:17:38,70.8,High Seismicity
14:17:40,70.9,High Seismicity
14:17:42,70.8,High Seismicity
14:17:44,70.8,High Seismicity
14:17:46,70.8,High Seismicity
14:17:48,70.8,High Seismicity
14:17:50,70.8,High Seismicity
14:17:52,70.8,High Seismicity
14:17:54,70.8,High Seismicity
14:17:56,70.8,High Seismicity
14:17:58,70.8,High Seismicity
14:18:00,70.8,High Seismicity
14:18:02,70.7,High Seismicity
