x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-95.45881327,-48.90706701,-87.452808,61,2023-08-03T10:13:28.867095Z,46.51053477,8.476124607,-1.397927192,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.09E-05,9,-4.579614675,MwA
-101.0539007,-55.92731199,-85.057754,62,2023-08-03T10:13:46.074647Z,46.51047229,8.476050505,-1.400322246,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000108697,17,-4.077553968,MwA
-95.99179324,-43.31855427,-92.813134,67,2023-08-03T10:14:44.597150Z,46.5105851,8.476118625,-1.392566866,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000120819,17,-3.975154114,MwA
-88.47301881,-47.07820358,-84.774868,68,2023-08-03T10:15:04.847454Z,46.51055039,8.476215934,-1.400605132,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.69E-05,11,-4.412386763,MwA
-86.7139441,-46.71033326,-83.295155,69,2023-08-03T10:15:22.879303Z,46.51055349,8.476238915,-1.402084845,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.26E-05,8,-4.26561455,MwA
-98.11807519,-54.47998334,-81.698801,70,2023-08-03T10:15:44.526721Z,46.51048496,8.476089003,-1.403681199,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.74E-05,9,-4.36571513,MwA
-90.48496483,-47.1781853,-84.639849,73,2023-08-03T10:16:36.156704Z,46.51054973,8.476189705,-1.400740151,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.23E-05,9,-4.546630516,MwA
-105.1674336,-52.70844259,-96.76173,75,2023-08-03T10:16:48.436991Z,46.51050173,8.475997466,-1.38861827,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.23E-05,8,-4.517113278,MwA
-92.1538143,-47.96620338,-86.65224,79,2023-08-03T10:18:52.806423Z,46.51054284,8.476167827,-1.39872776,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.34E-05,10,-4.283066148,MwA
-91.15727705,-44.0319208,-84.883182,80,2023-08-03T10:18:59.976527Z,46.51057811,8.476181488,-1.400496818,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.74E-05,17,-4.162347871,MwA
-95.78276481,-47.31236868,-100.356521,82,2023-08-03T10:19:00.290399Z,46.51054915,8.476120659,-1.385023479,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000156875,16,-4.011888834,MwA
-93.10110379,-43.05684045,-94.26009,83,2023-08-03T10:19:10.612167Z,46.51058711,8.47615633,-1.39111991,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000141538,20,-3.968481744,MwA
-102.8565349,-57.67546012,-85.469677,84,2023-08-03T10:19:17.966130Z,46.51045678,8.476026719,-1.399910323,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.59E-05,12,-4.33330003,MwA
-104.7084636,-59.16076527,-86.299232,88,2023-08-03T10:19:53.604972Z,46.51044364,8.476002336,-1.399080768,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.41E-05,13,-4.222275635,MwA
-95.95092556,-42.27517228,-93.69633,89,2023-08-03T10:19:58.033151Z,46.51059448,8.476119337,-1.39168367,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.0001774,13,-4.265886299,MwA
